Level1,Level2,Level3,Level4,Value
FRUITS,CITRUS,LEMON,,1
FRUITS,CITRUS,LIME,,1
FRUITS,CITRUS,GRAPEFRUIT,,1
FRUITS,CITRUS,ORANGE,,1
FRUITS,STONE FRUIT,PEACH,,1
FRUITS,STONE FRUIT,APRICOT,,1
FRUITS,STONE FRUIT,PLUM,,1
FRUITS,POME,APPLE,,1
FRUITS,POME,PEAR,,1
FRUITS,BERRY,STRAWBERRY,,1
FRUITS,BERRY,RASPBERRY,,1
FRUITS,BERRY,BLUEBERRY,,1
FRUITS,BERRY,BLACKBERRY,,1
FRUITS,TROPICAL,MANGO,,1
FRUITS,TROPICAL,PINEAPPLE,,1
FRUITS,TROPICAL,BANANA,,1
FRUITS,TROPICAL,COCONUT,,1
VEGETABLES,LEAFY GREENS,LETTUCE,,1
VEGETABLES,LEAFY GREENS,SPINACH,,1
VEGETABLES,LEAFY GREENS,KALE,,1
VEGETABLES,LEAFY GREENS,ARUGULA,,1
VEGETABLES,ROOT,CARROT,,1
VEGETABLES,ROOT,POTATO,,1
VEGETABLES,ROOT,BEET,,1
VEGETABLES,ROOT,RADISH,,1
VEGETABLES,CRUCIFEROUS,BROCCOLI,,1
VEGETABLES,CRUCIFEROUS,CAULIFLOWER,,1
VEGETABLES,CRUCIFEROUS,CABBAGE,,1
VEGETABLES,CRUCIFEROUS,BRUSSELS SPROUTS,,1
VEGETABLES,NIGHTSHADE,TOMATO,,1
VEGETABLES,NIGHTSHADE,PEPPER,,1
VEGETABLES,NIGHTSHADE,EGGPLANT,,1
VEGETABLES,ALLIUM,ONION,,1
VEGETABLES,ALLIUM,GARLIC,,1
VEGETABLES,ALLIUM,LEEK,,1
SPICES,SWEET,CINNAMON,,1
SPICES,SWEET,VANILLA,,1
SPICES,SWEET,NUTMEG,,1
SPICES,SWEET,CLOVE,,1
SPICES,HOT,CHILI,,1
SPICES,HOT,PEPPER,,1
SPICES,HOT,GINGER,,1
SPICES,HOT,WASABI,,1
SPICES,AROMATIC,BASIL,,1
SPICES,AROMATIC,OREGANO,,1
SPICES,AROMATIC,THYME,,1
SPICES,AROMATIC,ROSEMARY,,1
GRAINS,WHEAT,FLOUR,,1
GRAINS,WHEAT,BREAD,,1
GRAINS,WHEAT,PASTA,,1
GRAINS,RICE,WHITE RICE,,1
GRAINS,RICE,BROWN RICE,,1
GRAINS,RICE,WILD RICE,,1
GRAINS,ANCIENT,QUINOA,,1
GRAINS,ANCIENT,BARLEY,,1
GRAINS,ANCIENT,OATS,,1
GRAINS,CORN,POPCORN,,1
GRAINS,CORN,TORTILLA,,1
DAIRY,MILK,WHOLE MILK,,1
DAIRY,MILK,SKIM MILK,,1
DAIRY,MILK,ALMOND MILK,,1
DAIRY,CHEESE,CHEDDAR,,1
DAIRY,CHEESE,MOZZARELLA,,1
DAIRY,CHEESE,PARMESAN,,1
DAIRY,YOGURT,GREEK YOGURT,,1
DAIRY,YOGURT,REGULAR YOGURT,,1
PROTEIN,MEAT,BEEF,,1
PROTEIN,MEAT,PORK,,1
PROTEIN,MEAT,LAMB,,1
PROTEIN,POULTRY,CHICKEN,,1
PROTEIN,POULTRY,TURKEY,,1
PROTEIN,POULTRY,DUCK,,1
PROTEIN,SEAFOOD,SALMON,,1
PROTEIN,SEAFOOD,TUNA,,1
PROTEIN,SEAFOOD,SHRIMP,,1
PROTEIN,SEAFOOD,COD,,1
PROTEIN,PLANT,TOFU,,1
PROTEIN,PLANT,TEMPEH,,1
PROTEIN,PLANT,SEITAN,,1
NUTS,TREE NUTS,ALMOND,,1
NUTS,TREE NUTS,WALNUT,,1
NUTS,TREE NUTS,CASHEW,,1
NUTS,TREE NUTS,PECAN,,1
NUTS,LEGUMES,PEANUT,,1
NUTS,LEGUMES,SOYBEAN,,1
NUTS,SEEDS,SUNFLOWER,,1
NUTS,SEEDS,PUMPKIN,,1
